team,nationality,position,age,potential,name
VVV-Venlo ,Netherlands,Portero,29,Bueno,Delano van Crooij
VVV-Venlo ,Netherlands,LB,30,Bueno,Roel Janssen
Sagan Tosu ,Japan,Lateral Derecho|LB,21,Bueno,Teruki Hara
Seattle Sounders FC ,France,Lateral Derecho|Medio Centro Defensivo,27,Bueno,Jordy Delem
D. Alavés ,Spain,Defensa Central,25,Bueno,Erik Ruiz
Chicago Fire Soccer Club ,United States,Lateral Derecho|Medio Centro Defensivo|Medio Centro,25,Bueno,Brandt Bronico
VVV-Venlo ,Netherlands,Lateral Derecho,22,Bueno,Tristan Dekker
Unión de Santa Fe ,Argentina,Medio Izquierdo,22,Bueno,Braian Álvarez
St. Mirren ,Scotland,Delantero Centro|Medio Derecho|Medio Izquierdo,21,Bueno,Kyle McAllister
Belenenses ,Portugal,Defensa Central,21,Bueno,Luís Silva
Cerezo Osaka ,Korea Republic,Portero,22,Bueno,Ahn Joon Soo
Cerezo Osaka ,Japan,Delantero Centro|Media Punta|Extremo Derecho,34,Bueno,Ken Tokura
Patriotas Boyacá FC ,Colombia,Lateral Derecho,24,Bueno,Santiago Roa
US Orléans Loiret Football ,France,Medio Centro Defensivo|Medio Centro,25,Bueno,Thomas Ephestion
Mineros de Guayana ,Venezuela,Delantero Centro|Media Punta|Extremo Derecho,30,Bueno,Gustavo Páez
Pachuca ,Mexico,Medio Centro|Extremo Derecho,21,Bueno,Francisco Figueroa
RKC Waalwijk ,Belgium,Defensa Central,21,Bueno,Hannes Delcroix
Heart of Midlothian ,Japan,Delantero Centro|Medio Izquierdo|Extremo Izquierdo,22,Bueno,Ryotaro Meshino
Chiavari ,Italy,Delantero Centro,22,Bueno,Manuel De Luca
IK Sirius ,Sweden,Lateral Derecho|Defensa Central,28,Bueno,Karl Larson
Impact Montréal ,Canada,Medio Centro Defensivo|Medio Centro,22,Bueno,Shamit Shome
Minnesota United FC ,United States,Medio Centro Defensivo|Medio Centro,25,Bueno,Jacori Hayes
Pordenone ,Italy,Medio Derecho|Medio Centro,24,Bueno,Roberto Zammarini
Colchester United ,England,LB|Carrilero Izquierdo|Extremo Izquierdo,24,Bueno,Cohen Bramall
Le Mans FC ,France,Medio Izquierdo|Medio Centro,22,Bueno,Youssef Maziz
Valencia CF ,Spain,Defensa Central,23,Bueno,Javi Jiménez
Çaykur Rizespor ,Germany,Medio Centro Defensivo|Medio Centro,21,Bueno,Atakan Akkaynak
Lillestrøm SK ,Norway,Medio Derecho,30,Bueno,Aleksander Melgalvis
Club Atlas ,Mexico,Medio Izquierdo,20,Bueno,Jairo Torres
Futebol Clube de Famalicão ,Uruguay,Delantero Centro|Extremo Derecho,21,Bueno,Nicolás Schiappacasse
Kristiansund BK ,Norway,Defensa Central|Medio Centro Defensivo|Medio Centro,29,Bueno,Andreas Eines Hopmark
Ipswich Town ,England,LB|Medio Centro,20,Bueno,Tristan Nydam
SCR Altach ,Austria,Carrilero Derecho|Lateral Derecho|Defensa Central|Extremo Derecho,22,Bueno,Manuel Thurnwald
Malmö FF ,Sweden,Defensa Central,21,Bueno,Anel Ahmedhodzic
Sparta Rotterdam ,Netherlands,LB,22,Bueno,Lassana Faye
Adelaide United ,Australia,Extremo Derecho|Extremo Izquierdo,27,Bueno,Nikola Mileusnic
Odense Boldklub ,Nigeria,Carrilero Izquierdo|Extremo Izquierdo,24,Bueno,Kingsley Madu
Elche CF ,Spain,LB|Defensa Central,24,Bueno,Josema
Heart of Midlothian ,England,Lateral Derecho|Defensa Central|Medio Centro,21,Bueno,Toby Sibbick
Sunderland ,England,LB|Carrilero Izquierdo|Extremo Izquierdo,21,Bueno,Denver Hume
Fortaleza ,Brazil,Delantero Centro,24,Bueno,Dillson Teixeiro
Club Athletico Paranaense ,Brazil,Medio Centro Defensivo,24,Bueno,Adrián Rocheira
Örebro SK ,Finland,Defensa Central|Carrilero Izquierdo|Extremo Izquierdo,30,Bueno,Albin Granlund
New York Red Bulls ,United States,Lateral Derecho|LB,22,Bueno,Kyle Duncan
SPAL ,Brazil,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,23,Bueno,Strefezza
FC St. Gallen 1879 ,France,Lateral Derecho|Extremo Derecho,22,Bueno,Axel Bakayoko
FC Luzern ,Switzerland,LB,22,Bueno,Silvan Sidler
Crewe Alexandra ,England,Medio Centro,22,Bueno,Tom Lowery
Benevento ,Italy,Medio Centro Defensivo|Medio Centro,30,Bueno,Lorenzo Del Pinto
Chiavari ,Italy,Portero,23,Bueno,Andrea Zaccagno
FSV Zwickau ,Canada,Carrilero Derecho|Lateral Derecho|Carrilero Izquierdo|Extremo Derecho|Extremo Izquierdo,23,Bueno,Marcus Godinho
Accrington Stanley ,England,Defensa Central,21,Bueno,Ross Sykes
Ettifaq FC ,Saudi Arabia,Defensa Central,26,Bueno,Saeed Al Rubaie
Club Olimpia ,Paraguay,Medio Centro,27,Bueno,Willian Candia
Wisla Kraków ,Brazil,Medio Centro Defensivo|Medio Centro,24,Bueno,Jean Carlos
Wycombe Wanderers ,England,Medio Izquierdo|Medio Centro|Extremo Izquierdo,24,Bueno,Nick Freeman
Heracles Almelo ,Netherlands,Medio Derecho|Medio Centro Ofensivo,25,Bueno,Reuven Niemeijer
Lechia Gdansk ,Poland,Medio Centro Defensivo|Medio Centro,21,Bueno,Tomasz Makowski
Livorno ,Italy,LB|Medio Izquierdo,25,Bueno,Antonio Porcino
St. Mirren ,Tunisia,Delantero Centro,27,Bueno,Seifedin Chabbi
1. FC Union Berlin ,Germany,Portero,22,Bueno,Moritz Nicolas
Oldham Athletic ,England,Medio Derecho|Medio Izquierdo,23,Bueno,Jonny Smith
KFC Uerdingen 05 ,Lithuania,Defensa Central|Medio Centro Defensivo,27,Bueno,Edvinas Girdvainis
Eintracht Braunschweig ,Germany,Defensa Central,23,Bueno,Robin Ziegele
FC Hansa Rostock ,Germany,LB|Defensa Central,24,Bueno,Nico Rieble
Barcelona Guayaquil ,Uruguay,Medio Centro Defensivo,30,Bueno,Bruno Piñatares
Hibernian ,Belgium,Medio Centro,24,Bueno,Stephane Omeonga
Wisla Plock ,Poland,Defensa Central,25,Bueno,Michal Marcjanik
Pogon Szczecin ,Austria,Lateral Derecho|Medio Derecho,26,Bueno,David Stec
Forest Green Rovers ,England,Defensa Central,23,Bueno,Nathan McGinley
FC Chambly Oise ,France,Delantero Centro,28,Bueno,Yannick Mamilonne
Silkeborg IF ,Denmark,Medio Izquierdo,21,Bueno,Jeppe Okkels
Pogon Szczecin ,Greece,Delantero Centro,30,Bueno,Michalis Manias
Lyngby BK ,Denmark,Defensa Central|Medio Centro Defensivo,28,Bueno,Kasper Enghardt
Esbjerg fB ,Denmark,Lateral Derecho,22,Bueno,Daniel Anyembe
Lyngby BK ,Denmark,Carrilero Derecho|Medio Derecho|Extremo Derecho,33,Bueno,Lasse Fosgaard
SV Wehen Wiesbaden ,Germany,LB|Carrilero Izquierdo|Extremo Izquierdo,25,Bueno,Marc Wachs
US Orléans Loiret Football ,Luxembourg,Medio Derecho|Medio Centro Ofensivo,20,Bueno,Vincent Thill
HJK Helsinki ,Finland,Lateral Derecho|Medio Derecho|Medio Izquierdo,27,Bueno,Nikolai Alho
Doncaster Rovers ,England,Delantero Centro|Medio Izquierdo,21,Bueno,Niall Ennis
Sint-Truidense VV ,Belgium,Lateral Derecho|Defensa Central,24,Bueno,Wolke Janssens
St. Johnstone FC ,Scotland,Lateral Derecho,21,Bueno,Anthony Ralston
Centro Sportivo Alagoano ,Brazil,Medio Centro Ofensivo,20,Bueno,Mairdel Sampaio
Avaí ,Brazil,Medio Centro Ofensivo,20,Bueno,Joaninho Chagas
Ceará Sporting Club ,Brazil,Portero,24,Bueno,Nelson Freitosa
Defensa y Justicia ,Argentina,Portero,26,Bueno,Lucio Chiappero
Colón de Santa Fe ,Argentina,Delantero Centro,21,Bueno,Tomás Sandoval
1. FC Kaiserslautern ,Germany,Medio Centro Defensivo|Medio Centro,22,Bueno,Gino Fechner
Tranmere Rovers ,England,Defensa Central,21,Bueno,Morgan Feeney
Impact Montréal ,Canada,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,21,Bueno,Ballou Tabla
Fotbal Club Voluntari ,France,Medio Centro,23,Bueno,Aïssa Laïdouni
FBC Melgar ,Peru,Medio Centro Defensivo|Medio Centro,24,Bueno,Alexis Arias
Sarpsborg 08 FF ,Norway,Delantero Centro,27,Bueno,Steffen Lie Skålevik
Stabæk Fotball ,Norway,LB,24,Bueno,Jeppe Arctander Moe
Gallos Blancos de Querétaro ,Mexico,Medio Derecho|Medio Izquierdo,22,Bueno,Paolo Yrizar
RKS Raków Czestochowa SA ,Poland,Medio Centro Defensivo,24,Bueno,Igor Sapala
HJK Helsinki ,Papua New Guinea,Medio Centro Ofensivo|Extremo Izquierdo,24,Bueno,David Browne
SV Wehen Wiesbaden ,Germany,Delantero Centro,23,Bueno,Phillip Tietz
Esbjerg fB ,Denmark,Defensa Central,23,Bueno,Viktor Tranberg
Wuhan Zall Professional FC ,China PR,Medio Centro Defensivo|Medio Centro,30,Bueno,Li Hang
Shonan Bellmare ,Japan,Medio Centro,21,Bueno,Mitsuki Saito
Kawasaki Frontale ,Japan,Medio Centro Defensivo|Medio Centro,28,Bueno,Hokuto Shimoda
Kasimpasa SK ,Turkey,Medio Centro,22,Bueno,Hakan Demir
La Equidad ,Colombia,Delantero Centro,23,Bueno,Pablo Sabbag
Dundalk ,Republic of Ireland,Defensa Central,24,Bueno,Daniel Cleary
FC Twente ,England,Lateral Derecho|Defensa Central,20,Bueno,Joel Latibeaudiere
Daegu FC ,Korea Republic,Defensa Central,25,Bueno,Hong Jeong Un
Gamba Osaka ,Japan,Defensa Central,30,Bueno,Ryo Shinzato
Shonan Bellmare ,Japan,Delantero Centro|Medio Centro Ofensivo,25,Bueno,Hiroto Nakagawa
Oita Trinita ,Japan,Delantero Centro|Medio Derecho|Media Punta,26,Bueno,Seigo Kobayashi
Sangju Sangmu FC ,Korea Republic,Lateral Derecho|Medio Derecho|Extremo Derecho,27,Bueno,Ahn Tae Hyun
Shimizu S-Pulse ,Japan,Lateral Derecho,30,Bueno,Ryo Okui
Sagan Tosu ,Korea Republic,Defensa Central|Medio Centro Defensivo,26,Bueno,Park Jeong Su
Sagan Tosu ,Japan,Medio Centro Defensivo|Medio Centro,35,Bueno,Yoshiki Takahashi
Al Fayha ,Saudi Arabia,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,27,Bueno,Abdulkarim Al Qahtani
Eintracht Braunschweig ,Germany,Medio Derecho|Medio Izquierdo,23,Bueno,Leandro Putaro
Monarcas Morelia ,Mexico,Portero,23,Bueno,Luis Malagón
Sagan Tosu ,Japan,Defensa Central,33,Bueno,Keisuke Iwashita
Vegalta Sendai ,Korea Republic,Defensa Central,32,Bueno,Kim Jungya
Sagan Tosu ,Brazil,Defensa Central,27,Bueno,Eduardo
Club Sol de América ,Argentina,LB,27,Bueno,Facundo Cobos
Jagiellonia Bialystok ,Iceland,LB,25,Bueno,Bö?var Bö?varsson
Vissel Kobe ,Japan,Defensa Central,33,Bueno,Hirofumi Watanabe
Shonan Bellmare ,Japan,Medio Derecho,29,Bueno,Shota Kobayashi
Pohang Steelers ,Korea Republic,Delantero Centro|Extremo Izquierdo,27,Bueno,Heo Yong Joon
Atlanta United ,England,Carrilero Derecho|Lateral Derecho|Defensa Central|Extremo Derecho,23,Bueno,Anton Walkes
Universidad de Chile ,Chile,Medio Centro Defensivo|Medio Centro,22,Bueno,Camilo Moya
Portsmouth ,England,Delantero Centro|Defensa Central,28,Bueno,Oliver Hawkins
Club Atlas ,Mexico,Portero,23,Bueno,Santiago Hernández
Houston Dynamo ,Belize,Medio Derecho|Medio Centro|Extremo Derecho,27,Bueno,Michael Salazar
Wisla Kraków ,Poland,Portero,23,Bueno,Mateusz Lis
Wuhan Zall Professional FC ,China PR,Defensa Central,26,Bueno,Liao Junjian
Guaraní (Paraguay) ,Argentina,Lateral Derecho|Defensa Central,29,Bueno,Hernán Lopes
LASK Linz ,Austria,Medio Centro Defensivo|Medio Centro,21,Bueno,Valentino Müller
TSV 1860 München ,Germany,Medio Izquierdo|Extremo Izquierdo,27,Bueno,Nico Karger
Chamois Niortais Football Club ,France,Portero,23,Bueno,Quentin Braat
Atlético Huila ,Colombia,Medio Derecho|Medio Izquierdo,28,Bueno,Yilton Díaz
Club Bolívar ,Bolivia,Delantero Centro|Extremo Derecho,24,Bueno,Leonardo Vaca
Club Social Cultural y Deportivo Blooming,Bolivia,Medio Centro|Media Punta,28,Bueno,Erwin Junior Sánchez
Northampton Town ,England,Defensa Central,22,Bueno,Scott Wharton
Oldham Athletic ,England,LB,23,Bueno,Cameron Borthwick-Jackson
Athlétic Club Ajaccio ,Ivory Coast,LB|Defensa Central,23,Bueno,Ismaël Chester Diallo
Willem II ,Belgium,Extremo Izquierdo,22,Bueno,Elton Kabangu
Arka Gdynia ,DR Congo,Defensa Central,22,Bueno,Christian Maghoma
West Bromwich Albion ,England,Defensa Central,22,Bueno,Jack Fitzwater
Bristol Rovers ,England,Defensa Central,22,Bueno,Alfie Kilgour
Chamois Niortais Football Club ,France,Medio Centro Defensivo|Medio Centro,24,Bueno,Brahim Konaté
Venezia ,Italy,Medio Izquierdo|Medio Centro|Extremo Derecho,27,Bueno,Marco Firenze
Tranmere Rovers ,England,Medio Izquierdo|Extremo Izquierdo,22,Bueno,Corey Blackett-Taylor
Walsall ,Scotland,LB|Defensa Central,23,Bueno,Zak Jules
Kayserispor ,Turkey,Portero,25,Bueno,Ismail Çipe
Bahia ,Brazil,Delantero Centro|Medio Izquierdo|Medio Centro Ofensivo,32,Bueno,Iuliano Alfaro
Ceará Sporting Club ,Brazil,Delantero Centro|Media Punta|Extremo Izquierdo,28,Bueno,Vagnão Junior
Santos ,Brazil,Delantero Centro|Medio Derecho,28,Bueno,Fachendinho
Club Athletico Paranaense ,Brazil,Defensa Central|Medio Centro Defensivo,32,Bueno,Vasquão Junior
Fortaleza ,Brazil,Defensa Central,24,Bueno,Mateus Couteira
Bahia ,Brazil,Lateral Derecho|Defensa Central,24,Bueno,Peixotacinho
Centro Sportivo Alagoano ,Brazil,Defensa Central|Medio Centro Defensivo,32,Bueno,Perceval Acunha
Ceará Sporting Club ,Brazil,Delantero Centro,20,Bueno,Dêniro Prestes
Chapecoense ,Brazil,Medio Centro|Medio Centro Ofensivo,20,Bueno,Juli Morrinhos
Ceará Sporting Club ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,24,Bueno,Leonardo Freijão
FC Chambly Oise ,Cameroon,Defensa Central,22,Bueno,Oumar Gonzalez
Trapani ,Italy,Lateral Derecho|Medio Derecho|Medio Centro,26,Bueno,Gregorio Luperini
Audax Italiano ,Chile,Defensa Central,22,Bueno,Ricardo Escobar
Blackburn Rovers ,England,Medio Centro Defensivo|Medio Centro,21,Bueno,Jacob Davenport
Patronato ,Argentina,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,30,Bueno,Fernando Luna
Waasland-Beveren ,Ghana,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,24,Bueno,Thomas Agyepong
SSV Jahn Regensburg ,Germany,Delantero Centro,23,Bueno,Erik Wekesser
Kalmar FF ,Sweden,Medio Derecho|Medio Centro,22,Bueno,Svante Ingelsson
Atlético Bucaramanga ,Colombia,Delantero Centro|Medio Derecho,24,Bueno,Diego Herazo
spusu SKN St. Pölten ,Austria,Lateral Derecho|Medio Centro,25,Bueno,Martin Rasner
Vélez Sarsfield ,Argentina,Extremo Derecho|Extremo Izquierdo,22,Bueno,Emiliano Bogado
Lecce ,Italy,Medio Centro,24,Bueno,Alessandro Deiola
Portsmouth ,England,LB,23,Bueno,Brandon Haunstrup
Wisla Plock ,Spain,LB,27,Bueno,Ángel García
Wolfsberger AC ,Austria,Medio Centro Defensivo|Medio Centro,25,Bueno,Sven Sprangler
SV Mattersburg ,Austria,Defensa Central,30,Bueno,Thorsten Mahrer
Club Atlético de San Luis ,Mexico,Medio Centro,28,Bueno,Fernando Madrigal
CD Universidad de Concepción ,Chile,Lateral Derecho,31,Bueno,Guillermo Pacheco
SønderjyskE ,Denmark,Lateral Derecho|Defensa Central,23,Bueno,Stefan Gartenmann
Sportverein Waldhof Mannheim 07 e.V. ,Germany,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,22,Bueno,Arianit Ferati
CD Lugo ,Spain,Medio Izquierdo|Medio Centro Ofensivo,29,Bueno,Campillo
Coventry City ,England,Medio Centro|Medio Centro Ofensivo,23,Bueno,Zain Westbrooke
RKS Raków Czestochowa SA ,Poland,Delantero Centro|Media Punta,24,Bueno,Sebastian Musiolik
Wisla Kraków ,Poland,Lateral Derecho,24,Bueno,David Niepsuj
Club Deportivo Jorge Wilstermann ,Bolivia,LB,31,Bueno,Óscar Vaca
Walsall ,England,Lateral Derecho|Defensa Central,30,Bueno,James Clarke
Cheltenham Town ,Wales,Carrilero Derecho|Medio Centro|Medio Centro Ofensivo|Extremo Derecho,23,Bueno,Ryan Broom
Waasland-Beveren ,lbania,Delantero Centro,22,Bueno,Din Sula
Crawley Town ,England,Lateral Derecho|Defensa Central,24,Bueno,Josh Dacres-Cogley
Fortuna Sittard ,France,Defensa Central,25,Bueno,Grégoire Amiot
FK Haugesund ,Norway,Portero,30,Bueno,Helge Sandvik
Rochdale ,Spain,Portero,22,Bueno,Robert Sanchez
AS Nancy Lorraine ,France,LB|Medio Centro Defensivo|Medio Centro,23,Bueno,Vincent Marchetti
Club Deportivo Oriente Petrolero ,Bolivia,Medio Centro Defensivo|Medio Centro,23,Bueno,Sebastián Gamarra
Sangju Sangmu FC ,Korea Republic,Defensa Central|Extremo Derecho,27,Bueno,Kim Jin Hyuk
Sarpsborg 08 FF ,Norway,Medio Derecho|Medio Izquierdo,23,Bueno,Mohamed Ofkir
Jaguares Fútbol Club ,Colombia,LB|Defensa Central,23,Bueno,Leonardo Escorcia
Walsall ,England,Medio Izquierdo,23,Bueno,Wes McDonald
Östersunds FK ,Netherlands,Medio Centro Defensivo|Medio Centro,24,Bueno,Rewan Amin
Stade de Reims ,France,Portero,23,Bueno,Nicolas Lemaître
Tromsø IL ,Norway,Defensa Central,24,Bueno,Jostein Gundersen
D.C. United ,Jamaica,Lateral Derecho|LB,28,Bueno,Oniel Fisher
Gimnasia y Esgrima La Plata ,Argentina,Delantero Centro|Medio Izquierdo,23,Bueno,Eric Ramírez
Seongnam FC ,Korea Republic,Medio Derecho|Extremo Izquierdo,29,Bueno,Joo Hyeon Woo
Club Necaxa ,Ecuador,Medio Izquierdo,25,Bueno,Kevin Mercado
Hobro IK ,Tunisia,Delantero Centro|Medio Derecho|Medio Izquierdo,26,Bueno,Imed Louati
Coventry City ,England,Medio Derecho|Medio Izquierdo,22,Bueno,Jodi Jones
Fortuna Sittard ,France,Medio Centro Ofensivo,24,Bueno,Djibril Dianessy
Patriotas Boyacá FC ,Colombia,Defensa Central|Medio Centro Defensivo,32,Bueno,Óscar Balanta
Lillestrøm SK ,Denmark,Defensa Central,25,Bueno,Tobias Salquist
Scunthorpe United ,Netherlands,Delantero Centro,29,Bueno,Kevin van Veen
Deportivo Cali ,Colombia,Defensa Central,25,Bueno,Eduar Caicedo
Patriotas Boyacá FC ,Colombia,LB|Defensa Central,25,Bueno,Martin Payares
FC Admira Wacker Mödling ,Austria,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,26,Bueno,Roman Kerschbaum
Sporting Kansas City ,United States,LB,27,Bueno,Amadou Dia
CD Palestino ,Argentina,Portero,27,Bueno,Federico Lanzillotta
Sangju Sangmu FC ,Korea Republic,Medio Centro,27,Bueno,Kim Min Hyeok
Montpellier Hérault SC ,France,Medio Derecho|Medio Centro Ofensivo,21,Bueno,Bilal Boutobba
Houston Dynamo ,United States,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,24,Bueno,Memo Rodriguez
GIF Sundsvall ,Jordan,Carrilero Derecho|Medio Derecho|Extremo Derecho,25,Bueno,Jonathan Tamimi
Mansfield Town ,Republic of Ireland,Defensa Central,23,Bueno,Ryan Sweeney
Colorado Rapids ,New Zealand,LB|Defensa Central,25,Bueno,Deklan Wynne
Dundalk ,Nigeria,Medio Izquierdo,24,Bueno,Nathan Oduwa
Shamrock Rovers ,Northern Ireland,Medio Centro Defensivo|Medio Centro,25,Bueno,Aaron McEneff
SD Ponferradina ,Argentina,Portero,26,Bueno,Gianfranco Gazzaniga
Cádiz CF ,Spain,Portero,26,Bueno,David Gil
Doncaster Rovers ,England,Medio Centro Defensivo,22,Bueno,Ben Sheaf
Blackpool ,England,LB|Carrilero Izquierdo|Extremo Izquierdo,22,Bueno,Marc Bola
Hebei China Fortune FC ,China PR,Defensa Central,27,Bueno,Jin Yangyang
Delfín Sporting Club ,Ecuador,Defensa Central,25,Bueno,Luis Cangá
SV Meppen ,Germany,Delantero Centro|Medio Derecho,24,Bueno,Julius Düker
MSV Duisburg ,Germany,Lateral Derecho|Defensa Central,23,Bueno,Lukas Boeder
Milton Keynes Dons ,Wales,Lateral Derecho|Defensa Central,22,Bueno,Regan Poole
Lech Poznan ,Russia,Delantero Centro,23,Bueno,Timur Zhamaletdinov
Bradford City ,England,Portero,24,Bueno,Luke McGee
Strømsgodset IF ,Denmark,Medio Centro|Medio Centro Ofensivo,24,Bueno,Mikkel Maigaard
La Spezia ,Italy,Medio Centro Defensivo|Medio Centro,26,Bueno,Gennaro Acampora
CD Lugo ,Spain,Delantero Centro,25,Bueno,Carlos Castro
Málaga CF ,Spain,Delantero Centro,24,Bueno,Buenacasa
FC Carl Zeiss Jena ,Germany,Delantero Centro|Media Punta,25,Bueno,Julian Günther-Schmidt
Bristol City ,England,Lateral Derecho|Defensa Central|Medio Centro Defensivo,23,Bueno,Zak Vyner
U Craiova 1948 Club Sportiv ,Brazil,Medio Centro Ofensivo|Extremo Derecho,28,Bueno,Gustavo
Stade de Reims ,France,Medio Derecho|Medio Izquierdo,24,Bueno,Grégory Berthier
Shanghai SIPG FC ,China PR,Carrilero Derecho|Lateral Derecho|Extremo Derecho,27,Bueno,Fu Huan
Wuhan Zall Professional FC ,China PR,Portero,29,Bueno,Dong Chunyu
Godoy Cruz ,Argentina,Medio Izquierdo|Medio Centro,26,Bueno,Gabriel Alanís
Patriotas Boyacá FC ,Colombia,Medio Centro Defensivo|Medio Centro,23,Bueno,Maicol Medina
CD Universidad de Concepción ,Uruguay,Portero,34,Bueno,Guillermo Reyes
SC Preußen Münster ,Germany,Delantero Centro|Medio Izquierdo|Extremo Izquierdo,24,Bueno,Lucas Cueto
CD Lugo ,Cameroon,Lateral Derecho|LB,26,Bueno,Serge Leuko
FC Admira Wacker Mödling ,Austria,Defensa Central,25,Bueno,Fabio Strauss
KFC Uerdingen 05 ,Germany,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,23,Bueno,Patrick Pflücke
SpVgg Unterhaching ,Germany,Portero,23,Bueno,Steve Kroll
Deportes Iquique ,Chile,Medio Derecho|Medio Centro,30,Bueno,Sebastián Zúñiga
C.D. Universidad Católica del Ecuador ,Argentina,Delantero Centro|Media Punta,32,Bueno,Juan Manuel Tévez
Fotbal Club Voluntari ,Portugal,Lateral Derecho,26,Bueno,Ricardinho
1. FC Kaiserslautern ,Germany,Defensa Central|Medio Centro Defensivo|Medio Centro,24,Bueno,Janik Bachmann
Patronato ,Argentina,Lateral Derecho|Defensa Central,30,Bueno,Gabriel Díaz
Rochdale ,Wales,Defensa Central|Medio Centro Defensivo|Medio Centro,24,Bueno,Jordan Williams
BK Häcken ,Sweden,Delantero Centro,23,Bueno,Gustaf Nilsson
CD Everton de Viña del Mar ,Chile,Portero,34,Bueno,Luis Santelices
FC Nantes ,Congo,Defensa Central,26,Bueno,Anthony Walongwa
Rochdale ,Northern Ireland,Medio Derecho|Medio Izquierdo,28,Bueno,Stephen Dooley
SCR Altach ,Austria,Medio Derecho|Medio Izquierdo|Media Punta,29,Bueno,Florian Jamnig
KAS Eupen ,Argentina,Delantero Centro,32,Bueno,Flavio Ciampichetti
Ross County FC ,Scotland,Medio Derecho|Medio Centro|Medio Centro Ofensivo,24,Bueno,Blair Spittal
Ettifaq FC ,Saudi Arabia,Delantero Centro|Medio Izquierdo|Medio Centro Ofensivo,26,Bueno,Saleh Al Jaman
Sporting Charleroi ,North Macedonia,Defensa Central,25,Bueno,Gjoko Zajkov
spusu SKN St. Pölten ,Austria,Medio Centro Defensivo|Medio Centro,28,Bueno,Daniel Luxbacher
Newport County ,England,Defensa Central,30,Bueno,Mickey Demetriou
St. Mirren ,France,Medio Centro Ofensivo,32,Bueno,Tony Andreu
Bristol Rovers ,England,Defensa Central,28,Bueno,Tom Davies
Sangju Sangmu FC ,Korea Republic,Medio Centro,28,Bueno,Han Seok Jong
Port Vale ,England,Defensa Central,24,Bueno,Nathan Smith
Daegu FC ,Japan,Medio Centro,30,Bueno,Tsubasa Nishi
Suwon Samsung Bluewings ,Korea Republic,Delantero Centro|Extremo Izquierdo,26,Bueno,Han Eui Kwon
FK Haugesund ,Norway,LB|Medio Izquierdo,31,Bueno,Alexander Stølås
AIK ,Norway,Lateral Derecho|LB|Defensa Central,26,Bueno,Daniel Granli
CD Lugo ,Spain,LB|Defensa Central,24,Bueno,José Carlos
Walsall ,Republic of Ireland,Medio Centro,24,Bueno,Liam Kinsella
Beijing Sinobo Guoan FC ,China PR,LB,30,Bueno,Jin Taiyan
Jiangsu Suning FC ,China PR,Lateral Derecho|LB|Defensa Central,29,Bueno,Zhou Yun
US Orléans Loiret Football ,France,LB|Defensa Central,24,Bueno,Gabriel Mutombo
Strømsgodset IF ,Norway,Delantero Centro,24,Bueno,Lars-Jørgen Salvesen
Kalmar FF ,Kosovo,Defensa Central,26,Bueno,Fidan Aliti
Chongqing Dangdai Lifan FC SWM Team ,China PR,Lateral Derecho|Medio Centro Defensivo|Medio Centro,31,Bueno,Jiang Zhe
FC Thun ,Switzerland,Defensa Central,25,Bueno,Nicola Sutter
Zaglebie Lubin ,Hungary,Medio Centro,22,Bueno,Mátyás Tajti
Tianjin Tianhai FC ,China PR,LB|Carrilero Izquierdo|Extremo Izquierdo,27,Bueno,Mi Haolun
Shandong Luneng TaiShan FC ,China PR,Lateral Derecho,27,Bueno,Wang Tong
Al Shabab ,Saudi Arabia,Lateral Derecho|LB,27,Bueno,Abdullah Al Shamekh
Fleetwood Town ,England,Medio Centro,24,Bueno,Kyle Dempsey
Houston Dynamo ,United States,Medio Izquierdo|Medio Centro|Extremo Derecho,29,Bueno,Tommy McNamara
Godoy Cruz ,Peru,Medio Centro Defensivo|Medio Centro,25,Bueno,Wilder Cartagena
Al Shabab ,Saudi Arabia,Defensa Central,26,Bueno,Ahmed Sharahili
Alianza Petrolera ,Colombia,Defensa Central,25,Bueno,Víctor Moreno
Chievo Verona ,Senegal,Medio Centro Defensivo|Medio Centro,24,Bueno,Maodo Malick Mbaye
SD Huesca ,Spain,Lateral Derecho|Defensa Central,24,Bueno,Antonio Marín
HJK Helsinki ,Finland,Defensa Central,25,Bueno,Daniel O'Shaughnessy
RC Celta ,Spain,Medio Centro Defensivo|Medio Centro Ofensivo,24,Bueno,Dani Molina
Al Faisaly ,Saudi Arabia,Delantero Centro,27,Bueno,Mohammed Al Saiari
Carlisle United ,England,Extremo Derecho|Extremo Izquierdo,25,Bueno,Nathan Thomas
Deportes Iquique ,Chile,Defensa Central,29,Bueno,Matías Blázquez
Independiente Medellín ,Colombia,Portero,28,Bueno,Andrés Mosquera
Falkenbergs FF ,Sweden,Defensa Central,31,Bueno,Tobias Karlsson
