team,nationality,position,age,potential,name
TSG 1899 Hoffenheim ,Croatia,Delantero Centro|Medio Centro Ofensivo,29,Muy bueno,Andrej Kramaric
Inter ,Croatia,Medio Centro Defensivo|Medio Centro,27,Muy bueno,Marcelo Brozovic
Atalanta ,Colombia,Delantero Centro,29,Muy bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Medio Centro Ofensivo|Extremo Derecho,26,Muy bueno,Anderson Talisca
Lazio ,lbania,Portero,25,Muy bueno,Thomas Strakosha
Manchester United ,France,Delantero Centro,24,Muy bueno,Anthony Martial
Ajax ,Argentina,LB,27,Muy bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Medio Centro|Medio Centro Ofensivo,24,Muy bueno,Dele Alli
Milan ,Italy,Defensa Central,25,Muy bueno,Alessio Romagnoli
SL Benfica ,Spain,LB,24,Muy bueno,Grimaldo
Borussia Dortmund ,Portugal,LB|Medio Izquierdo|Medio Centro,26,Muy bueno,Raphaël Guerreiro
Ajax ,Netherlands,Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo,27,Muy bueno,Filip Kostic
Atlético Madrid ,Belgium,Medio Izquierdo,26,Muy bueno,Yannick Carrasco
Chelsea ,Spain,Portero,25,Muy bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Medio Derecho,30,Muy bueno,Edin Višca
Napoli ,Poland,Delantero Centro,26,Muy bueno,Arkadiusz Milik
Real Sociedad ,Spain,Medio Derecho|Media Punta|Extremo Derecho,28,Muy bueno,Portu
Olympique de Marseille ,France,Medio Derecho|Extremo Derecho,27,Muy bueno,Florian Thauvin
RB Leipzig ,Austria,Medio Centro|Medio Centro Ofensivo,26,Muy bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Delantero Centro,29,Muy bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensa Central,29,Muy bueno,Stefan Savic
Borussia Dortmund ,Belgium,Medio Derecho|Medio Izquierdo|Media Punta,27,Muy bueno,Thorgan Hazard
Manchester United ,England,Defensa Central,27,Muy bueno,Harry Maguire
Valencia CF ,Brazil,Defensa Central,29,Muy bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero Centro,27,Muy bueno,Morata
Everton ,France,LB,27,Muy bueno,Lucas Digne
Ajax ,Serbia,Medio Centro Ofensivo|Media Punta|Extremo Izquierdo,31,Muy bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Medio Centro Defensivo|Medio Centro,31,Muy bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Medio Centro Ofensivo|Extremo Derecho,28,Muy bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Medio Izquierdo|Media Punta,27,Muy bueno,Wilfried Zaha
Valencia CF ,Spain,Delantero Centro,29,Muy bueno,Rodrigo
Real Betis ,Spain,Defensa Central|Medio Centro Defensivo,29,Muy bueno,Bartra
FC Bayern München ,Austria,LB|Defensa Central,28,Muy bueno,David Alaba
Liverpool ,Cameroon,Defensa Central,28,Muy bueno,Joel Matip
Juventus ,Colombia,Lateral Derecho|Medio Derecho|Extremo Derecho,32,Muy bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Portero,28,Muy bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Portero,30,Muy bueno,Lukáš Hrádecky
Ajax ,Netherlands,LB|Defensa Central|Medio Centro Defensivo,30,Muy bueno,Daley Blind
Athletic Club ,Spain,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,27,Muy bueno,Muniain
Eintracht Frankfurt ,Germany,Portero,30,Muy bueno,Kevin Trapp
Manchester City ,England,Lateral Derecho,30,Muy bueno,Kyle Walker
Juventus ,Wales,Medio Centro|Medio Centro Ofensivo,29,Muy bueno,Aaron Ramsey
Shanghai SIPG FC ,Austria,Delantero Centro,31,Muy bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Delantero Centro|Medio Centro Ofensivo,32,Muy bueno,Max Kruse
FC Bayern München ,Croatia,Medio Izquierdo|Extremo Izquierdo,31,Muy bueno,Ivan Perišic
Juventus ,Germany,Medio Centro Defensivo|Medio Centro,33,Muy bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Portero,32,Muy bueno,Rui Patrício
Arsenal ,Germany,Medio Centro Ofensivo|Extremo Derecho,31,Muy bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,33,Muy bueno,Marek Hamšík
Valencia CF ,Argentina,Defensa Central,33,Muy bueno,Ezequiel Garay
LAFC ,Mexico,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,31,Muy bueno,Carlos Vela
Olympique de Marseille ,France,Portero,35,Muy bueno,Steve Mandanda
Leicester City ,Denmark,Portero,33,Muy bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensa Central,34,Muy bueno,Raúl Albiol
Villarreal CF ,Spain,Medio Centro Defensivo|Medio Izquierdo|Medio Centro,35,Muy bueno,Santi Cazorla
Juventus ,Italy,Portero,42,Muy bueno,Gianluigi Buffon
Free Agents ,Uruguay,Medio Derecho|Medio Centro Ofensivo,28,Muy bueno,José María Sildero
Free Agents ,Uruguay,Defensa Central,28,Muy bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensa Central,23,Muy bueno,Rúben Dias
SV Werder Bremen ,Czech Republic,Portero,28,Muy bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Lateral Derecho|LB|Medio Derecho,21,Muy bueno,Achraf Hakimi
Real Madrid ,Serbia,Delantero Centro,22,Muy bueno,Luka Jovic
Manchester City ,Brazil,Delantero Centro,23,Muy bueno,Gabriel Jesus
Flamengo ,Brazil,Delantero Centro,28,Muy bueno,Oswaldinato
Palmeiras ,Brazil,Delantero Centro|Medio Centro Ofensivo|Media Punta,24,Muy bueno,Nuno Padrenda
Atlético Mineiro ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,20,Muy bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensa Central|Medio Centro Defensivo,24,Muy bueno,Juiano Mestres
Grêmio ,Brazil,Portero,32,Muy bueno,Raphaelito Anjos
Manchester United ,England,Carrilero Derecho|Lateral Derecho|Extremo Derecho,22,Muy bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensa Central|Medio Centro Defensivo|Medio Centro,23,Muy bueno,Denis Zakaria
FC Barcelona ,Portugal,Lateral Derecho,26,Muy bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Medio Centro|Medio Centro Ofensivo,24,Muy bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Medio Derecho|Extremo Derecho,25,Muy bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,22,Muy bueno,Steven Bergwijn
Paris Saint-Germain ,France,Defensa Central,24,Muy bueno,Presnel Kimpembe
Liverpool ,England,Lateral Derecho|Defensa Central,23,Muy bueno,Joe Gomez
Valencia CF ,Portugal,Delantero Centro|Medio Izquierdo,23,Muy bueno,Gonçalo Guedes
Sporting CP ,Argentina,LB|Extremo Izquierdo,28,Muy bueno,Marcos Acuña
Wolverhampton Wanderers ,Portugal,Medio Centro,23,Muy bueno,Rúben Neves
Getafe CF ,Spain,Portero,27,Muy bueno,David Soria
Real Sociedad ,Norway,Medio Derecho|Medio Centro|Medio Centro Ofensivo,21,Muy bueno,Martin Ødegaard
Liverpool ,Guinea,Medio Centro Defensivo|Medio Centro,25,Muy bueno,Naby Keïta
Real Madrid ,Spain,Extremo Derecho|Extremo Izquierdo,24,Muy bueno,Marco Asensio
Tottenham Hotspur ,Colombia,Defensa Central,24,Muy bueno,Davinson Sánchez
Leicester City ,England,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,23,Muy bueno,James Maddison
Newcastle United ,Slovakia,Portero,31,Muy bueno,Martin Dúbravka
FC Bayern München ,France,Medio Centro Defensivo|Medio Centro,25,Muy bueno,Corentin Tolisso
Napoli ,Italy,Delantero Centro|Medio Derecho|Extremo Derecho,26,Muy bueno,Matteo Politano
Athletic Club ,Spain,Delantero Centro|Extremo Derecho,26,Muy bueno,Iñaki Williams
LOSC Lille ,France,Portero,25,Muy bueno,Mike Maignan
Atlético Madrid ,Argentina,Delantero Centro|Medio Derecho,25,Muy bueno,Ángel Correa
Atlético Madrid ,France,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,24,Muy bueno,Thomas Lemar
Olympique Lyonnais ,France,Delantero Centro,24,Muy bueno,Moussa Dembélé
Manchester City ,Portugal,Lateral Derecho,26,Muy bueno,João Cancelo
