Year;Volcanic Explosivity Index;Volcano Type;Flag Tsunami;Flag Earthquake;Name and country
1895;2;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
1902;??;Estratovolcan;T;F;W Indies (Martinique)
1904;2;Volcan en escudo;F;F;Indian O-W (Comoros)
1906;3;Volcan complejo;T;F;Italy (Italy)
1928;1;Estratovolcan;F;F;Italy (Italy)
1929;3;Estratovolcan;F;F;Chile-S (Chile)
1930;3;Estratovolcan;F;F;Java (Indonesia)
1933;3;Estratovolcan;T;F;Kuril Is (Russia)
1933;4;Estratovolcan;F;F;Ryukyu Is (Japan)
1950;1;Estratovolcan;F;F;Java (Indonesia)
1972;2;Volcan en escudo;F;F;Indian O-W (Reunion)
1978;3;Estratovolcan;F;F;Hokkaido-Japan (Japan)
1979;??;Volcan complejo;T;F;Lesser Sunda Is (Indonesia)
1996;??;Estratovolcan;F;F;Nicaragua (Nicaragua)
2002;4;Estratovolcan;F;F;Ecuador (Ecuador)
2011;4;Estratovolcan;F;F;Ecuador (Ecuador)
2016;??;Caldera;F;F;Kyushu-Japan (Japan)
-1010;5;Estratovolcan;F;F;Ecuador (Ecuador)
350;??;Domo de lava;F;F;Alaska-SW (United States)
1311;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1587;4;Estratovolcan;F;F;Java (Indonesia)
1716;2;Estratovolcan;F;F;Java (Indonesia)
1729;1;Estratovolcan;F;F;Iceland-NE (Iceland)
1742;3;Estratovolcan;F;F;Ecuador (Ecuador)
1772;3;Estratovolcan;T;F;Halmahera-Indonesia (Indonesia)
1775;3;Estratovolcan;F;F;Sulawesi-Indonesia (Indonesia)
1840;3;Estratovolcan;F;F;Turkey (Turkey)
1871;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1874;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1883;6;Caldera;T;F;Indonesia (Indonesia)
1885;2;Estratovolcan;F;F;Java (Indonesia)
1919;0;Volcan en escudo;T;F;Hawaiian Is (United States)
1939;1;Volcan complejo;F;F;Java (Indonesia)
1952;2;Volcan submarino;T;F;Izu Is-Japan (Japan)
1952;1;Volcan compuesto;F;F;Luzon-Philippines (Philippines)
1961;3;Estratovolcan;F;F;Chile-S (Chile)
1978;3;Estratovolcan;F;F;Java (Indonesia)
1984;??;Maar;F;F;Africa-W (Cameroon)
1986;2;Estratovolcan;F;F;Italy (Italy)
1987;??;Volcan complejo;F;T;Lesser Sunda Is (Indonesia)
1993;??;Volcan en escudo;F;F;Hawaiian Is (United States)
1996;3;Estratovolcan;F;F;Mexico (Mexico)
2006;3;Estratovolcan;F;F;Ecuador (Ecuador)
2010;??;Estratovolcan;F;F;Sumatra (Indonesia)
2016;??;Caldera;F;F;US-Wyoming (United States)
50;6;Escudo piroclastico;F;F;Vanuatu-SW Pacific (Vanuatu)
590;??;Estratovolcan;F;F;El Salvador (El Salvador)
1302;??;Volcan complejo;F;F;Italy (Italy)
1568;3;Estratovolcan;F;F;Solomon Is-SW Pacifi (Solomon Is.)
1570;??;Estratovolcan;F;F;Nicaragua (Nicaragua)
