Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1660,4.0,Estratovolcan,False,False,Teon (Pacific Ocean)
1773,2.0,Estratovolcan,False,False,Gamalama (Indonesia)
1779,2.0,Volcan complejo,False,False,Vesuvius (Italy)
1801,2.0,Estratovolcan,False,False,Chokai (Japan)
1804,3.0,Caldera,False,False,Shikotsu (Japan)
1820,2.0,Estratovolcan,True,True,Westdahl (United States)
1845,4.0,Estratovolcan,False,False,Hekla (Iceland)
1867,2.0,Volcan complejo,False,False,Zao (Japan)
1870,2.0,Volcan en escudo,False,False,Aoba (Vanuatu)
1910,¿?,Caldera,False,False,Taupo (New Zealand)
1952,¿?,Volcan complejo,False,False,Hakone (Japan)
1953,2.0,Caldera,False,False,Aso (Japan)
1963,3.0,Estratovolcan,False,False,Irazu (Costa Rica)
1974,1.0,Estratovolcan,True,False,Ritter Island (Papua New Guinea)
1986,2.0,Estratovolcan,False,False,Merapi (Indonesia)
1987,3.0,Volcan complejo,False,False,Pacaya (Guatemala)
1990,¿?,Escudo piroclastico,False,False,Rabaul (Papua New Guinea)
1993,¿?,Estratovolcan,False,False,Pinatubo (Philippines)
2000,2.0,Estratovolcan,True,True,Miyake-jima (Japan)
2006,1.0,Estratovolcan,False,False,Mayon (Philippines)
2009,¿?,Estratovolcan,False,False,Redoubt (United States)
2016,¿?,Estratovolcan,False,False,Sinabung (Indonesia)
2018,¿?,Estratovolcan,False,False,Kusatsu-Shirane (Japan)
2019,2.0,Estratovolcan,False,False,Stromboli (Italy)
-1860,6.0,Estratovolcan,False,False,St. Helens (United States)
230,6.0,Caldera,False,False,Taupo (New Zealand)
1169,¿?,Estratovolcan,True,True,Etna (Italy)
1566,3.0,Volcan en escudo,False,False,Kirishima (Japan)
1597,4.0,Estratovolcan,False,False,Hekla (Iceland)
1640,3.0,Estratovolcan,False,False,Tungurahua (Ecuador)
1650,4.0,Volcan en escudo,True,False,Santorini (Greece)
1660,4.0,Volcan subglacial,False,False,Katla (Iceland)
1672,3.0,Estratovolcan,False,False,Merapi (Indonesia)
1679,¿?,Volcan en escudo,False,True,Zukur (Yemen)
1717,3.0,Volcan en escudo,False,False,Kirishima (Japan)
1741,4.0,Estratovolcan,True,False,Oshima-Oshima (Japan)
1753,2.0,Caldera,False,False,Grimsvotn (Iceland)
1780,4.0,Estratovolcan,True,False,Sakura-jima (Japan)
1817,4.0,Estratovolcan,False,False,Raung (Indonesia)
1833,2.0,Estratovolcan,False,False,Kaba (Indonesia)
1841,2.0,Estratovolcan,False,False,Kuchinoerabu-jima (Japan)
1843,0.0,Estratovolcan,True,False,Liamuiga (St. Kitts & Nevis)
1871,2.0,Estratovolcan,True,False,Ruang (Indonesia)
1899,2.0,Estratovolcan,False,False,Manam (Papua New Guinea)
1900,2.0,Volcan en escudo,False,False,Kirishima (Japan)
1928,3.0,Estratovolcan,False,False,Mayon (Philippines)
1937,4.0,Escudo piroclastico,True,True,Rabaul (Papua New Guinea)
1946,2.0,Estratovolcan,False,False,Sakura-jima (Japan)
1953,0.0,Volcan complejo,True,False,St. Andrew Strait (Papua New Guinea)
1976,3.0,Estratovolcan,False,False,Sangay (Ecuador)
1977,3.0,Estratovolcan,False,False,Kliuchevskoi (Russia)
1981,¿?,Estratovolcan,False,False,Mayon (Philippines)
1992,1.0,Estratovolcan,False,False,Karangetang [Api Siau] (Indonesia)
1994,3.0,Escudo piroclastico,True,False,Rabaul (Papua New Guinea)
1997,2.0,Estratovolcan,False,False,Merapi (Indonesia)
2005,4.0,Estratovolcan,False,False,Manam (Papua New Guinea)
2006,¿?,Estratovolcan,False,False,Raoul Island (New Zealand)
2014,¿?,Estratovolcan,False,False,Fogo (Cape Verde)
2015,2.0,Estratovolcan,False,False,Manam (Papua New Guinea)
1334,3.0,Estratovolcan,False,False,Kelut (Indonesia)
1564,3.0,Estratovolcan,False,False,Gamkonora (Indonesia)
1711,3.0,Estratovolcan,False,False,Awu (Indonesia)
1873,¿?,Volcan complejo,False,False,Vesuvius (Italy)
1877,4.0,Estratovolcan,False,False,Cotopaxi (Ecuador)
1892,3.0,Estratovolcan,True,False,Awu (Indonesia)
1895,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1895,2.0,Estratovolcan,False,False,Karkar (Papua New Guinea)
1902,¿?,Estratovolcan,True,False,Pelee (Martinique)
1904,2.0,Volcan en escudo,False,False,Karthala (Comoros)
1906,3.0,Volcan complejo,True,False,Vesuvius (Italy)
1928,1.0,Estratovolcan,False,False,Etna (Italy)
1929,3.0,Estratovolcan,False,False,Calbuco (Chile)
1930,3.0,Estratovolcan,False,False,Merapi (Indonesia)
1933,3.0,Estratovolcan,True,False,Kharimkotan (Russia)
1933,4.0,Estratovolcan,False,False,Kuchinoerabu-jima (Japan)
1950,1.0,Estratovolcan,False,False,Semeru (Indonesia)
1972,2.0,Volcan en escudo,False,False,"Fournaise, Piton de la (Reunion)"
1978,3.0,Estratovolcan,False,False,Usu (Japan)
1979,¿?,Volcan complejo,True,False,Iliwerung (Indonesia)
1996,¿?,Estratovolcan,False,False,Maderas (Nicaragua)
2002,4.0,Estratovolcan,False,False,Reventador (Ecuador)
2011,4.0,Estratovolcan,False,False,Tungurahua (Ecuador)
2016,¿?,Caldera,False,False,Aso (Japan)
-1010,5.0,Estratovolcan,False,False,Tungurahua (Ecuador)
350,¿?,Domo de lava,False,False,Augustine (United States)
1311,4.0,Volcan subglacial,False,False,Katla (Iceland)
1587,4.0,Estratovolcan,False,False,Merapi (Indonesia)
1716,2.0,Estratovolcan,False,False,Kelut (Indonesia)
1729,1.0,Estratovolcan,False,False,Bardarbunga (Iceland)
1742,3.0,Estratovolcan,False,False,Cotopaxi (Ecuador)
1772,3.0,Estratovolcan,True,False,Gamalama (Indonesia)
1775,3.0,Estratovolcan,False,False,Lokon-Empung (Indonesia)
1840,3.0,Estratovolcan,False,False,Ararat (Turkey)
1871,3.0,Estratovolcan,False,False,Mayon (Philippines)
1874,2.0,Estratovolcan,False,False,Taal (Philippines)
1883,6.0,Caldera,True,False,Krakatau (Indonesia)
1885,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1919,0.0,Volcan en escudo,True,False,Mauna Loa (United States)
